episode,score,avg_reward_5,epsilon,steps,loss
1,-20.0,-20.0,0.995,995,0.017086527668946312
2,-19.0,-19.5,0.990025,1116,0.018835432564094104
3,-21.0,-20.0,0.985074875,916,0.021225282367674788
4,-21.0,-20.25,0.9801495006250001,942,0.022101301608394363
5,-20.0,-20.2,0.9752487531218751,903,0.020140627886568056
6,-19.0,-20.0,0.9703725093562657,1001,0.020290409627060135
7,-19.0,-20.0,0.9655206468094844,940,0.023219657431237717
8,-21.0,-20.0,0.960693043575437,850,0.02304143784526626
9,-20.0,-19.8,0.9558895783575597,991,0.02283024786910189
10,-21.0,-20.0,0.9511101304657719,919,0.022496971363995744
11,-21.0,-20.4,0.946354579813443,1062,0.022977304695381902
12,-19.0,-20.4,0.9416228069143757,977,0.023320455460478156
13,-20.0,-20.2,0.9369146928798039,878,0.020807400427445513
14,-21.0,-20.4,0.9322301194154049,792,0.021989369879685746
15,-21.0,-20.4,0.9275689688183278,764,0.02293173392406599
16,-21.0,-20.4,0.9229311239742362,824,0.021905425783965593
17,-21.0,-20.8,0.918316468354365,820,0.022972543878770412
18,-19.0,-20.6,0.9137248860125932,1009,0.020839849425249246
19,-20.0,-20.4,0.9091562615825302,933,0.0214357010772879
20,-21.0,-20.4,0.9046104802746175,824,0.02699609596597441
21,-20.0,-20.2,0.9000874278732445,938,0.022071273157255576
22,-21.0,-20.2,0.8955869907338783,961,0.023871760904419736
23,-20.0,-20.4,0.8911090557802088,920,0.023689548189324103
24,-20.0,-20.4,0.8866535105013078,904,0.023179428597616774
25,-21.0,-20.4,0.8822202429488013,764,0.02349393476832034
26,-20.0,-20.4,0.8778091417340573,926,0.025307498569581425
27,-21.0,-20.4,0.8734200960253871,1122,0.024072015836846112
28,-20.0,-20.4,0.8690529955452602,838,0.022778567009201764
29,-21.0,-20.6,0.8647077305675338,934,0.02417027807014379
30,-19.0,-20.2,0.8603841919146962,1218,0.02222795280886352
31,-18.0,-19.8,0.8560822709551227,1083,0.02373647566105718
32,-21.0,-19.8,0.851801859600347,794,0.021928330414386885
33,-21.0,-20.0,0.8475428503023453,914,0.023794059046559166
34,-21.0,-20.0,0.8433051360508336,783,0.02430311341771926
35,-21.0,-20.4,0.8390886103705794,962,0.02240223617516453
36,-20.0,-20.8,0.8348931673187264,1041,0.022670430634604673
37,-21.0,-20.8,0.8307187014821328,912,0.0219009433109469
38,-21.0,-20.8,0.8265651079747222,854,0.025880563110620244
39,-21.0,-20.8,0.8224322824348486,871,0.02211907761962443
40,-20.0,-20.6,0.8183201210226743,927,0.02339476047507829
41,-21.0,-20.8,0.8142285204175609,824,0.023050229150378725
42,-21.0,-20.8,0.810157377815473,843,0.02197660238168303
43,-20.0,-20.6,0.8061065909263957,957,0.02195181841596493
44,-21.0,-20.6,0.8020760579717637,852,0.02167017063899474
45,-21.0,-20.8,0.798065677681905,884,0.020079138611736488
46,-21.0,-20.8,0.7940753492934954,931,0.02252715701635209
47,-21.0,-20.8,0.7901049725470279,824,0.021918321096908257
48,-20.0,-20.8,0.7861544476842928,960,0.023059982910126564
49,-20.0,-20.6,0.7822236754458713,957,0.02174675760141967
50,-21.0,-20.6,0.778312557068642,811,0.020494526377645105
51,-19.0,-20.2,0.7744209942832988,998,0.023245757533861145
52,-21.0,-20.2,0.7705488893118823,933,0.02432249783321048
53,-20.0,-20.2,0.7666961448653229,842,0.021648404488721344
54,-21.0,-20.4,0.7628626641409962,1089,0.022609224722996916
55,-21.0,-20.4,0.7590483508202912,852,0.024331978651739496
56,-20.0,-20.6,0.7552531090661897,837,0.02481586444420432
57,-21.0,-20.6,0.7514768435208588,824,0.0248559247483375
58,-21.0,-20.8,0.7477194593032545,1037,0.02192582256184139
59,-21.0,-20.8,0.7439808620067382,792,0.02402023440137984
60,-21.0,-20.8,0.7402609576967045,792,0.024391772448187552
61,-19.0,-20.6,0.736559652908221,980,0.0239572043596238
62,-21.0,-20.6,0.7328768546436799,811,0.023992249287721448
63,-21.0,-20.6,0.7292124703704616,783,0.023772767324123704
64,-20.0,-20.4,0.7255664080186093,902,0.024473894118644222
65,-21.0,-20.4,0.7219385759785162,826,0.02087027945637632
66,-21.0,-20.8,0.7183288830986236,884,0.023184487561618106
67,-21.0,-20.8,0.7147372386831305,783,0.02369035743553837
68,-21.0,-20.8,0.7111635524897149,884,0.022755239651921916
69,-20.0,-20.8,0.7076077347272662,838,0.02286907889479663
70,-21.0,-20.8,0.7040696960536299,826,0.02257585270297471
71,-19.0,-20.4,0.7005493475733617,937,0.021878235668402163
72,-20.0,-20.2,0.697046600835495,1041,0.02506998960945512
73,-20.0,-20.0,0.6935613678313175,842,0.02250181023365234
74,-20.0,-20.0,0.6900935609921609,949,0.02142597361756609
75,-21.0,-20.0,0.6866430931872001,886,0.02398536882123991
76,-21.0,-20.4,0.6832098777212641,792,0.023155827013250366
77,-21.0,-20.6,0.6797938283326578,886,0.021705103562324246
78,-21.0,-20.8,0.6763948591909945,884,0.02435241018464616
79,-21.0,-21.0,0.6730128848950395,918,0.026075970945440532
80,-19.0,-20.6,0.6696478204705644,1009,0.024169216287099435
81,-21.0,-20.6,0.6662995813682115,855,0.022896203092476065
82,-21.0,-20.6,0.6629680834613705,824,0.021121454711108316
83,-20.0,-20.4,0.6596532430440636,842,0.02267850617404735
84,-21.0,-20.4,0.6563549768288433,792,0.024272709301132837
85,-21.0,-20.8,0.653073201944699,852,0.022639396522644233
86,-21.0,-20.8,0.6498078359349755,884,0.024247633923316317
87,-21.0,-20.8,0.6465587967553006,783,0.021648536473039107
88,-21.0,-21.0,0.6433260027715241,783,0.0230415647538405
89,-21.0,-21.0,0.6401093727576664,905,0.02390699543014493
90,-21.0,-21.0,0.6369088258938781,824,0.023138391130346155
91,-20.0,-20.8,0.6337242817644086,917,0.022728529995977763
92,-21.0,-20.8,0.6305556603555866,901,0.0236068747149001
93,-21.0,-20.8,0.6274028820538087,794,0.02364461683004453
94,-21.0,-20.8,0.6242658676435396,852,0.022869482851485306
95,-21.0,-20.8,0.6211445383053219,944,0.023444009910975692
96,-21.0,-21.0,0.6180388156137953,962,0.02381599851139834
97,-20.0,-20.8,0.6149486215357263,920,0.024251736925393546
98,-19.0,-20.4,0.6118738784280476,997,0.021753096014107465
99,-21.0,-20.4,0.6088145090359074,824,0.022316817908609416
100,-20.0,-20.2,0.6057704364907278,900,0.024731083688416724
101,-21.0,-20.2,0.6027415843082742,884,0.02374430655372923
102,-20.0,-20.2,0.5997278763867329,903,0.022658582870381267
103,-20.0,-20.4,0.5967292370047992,838,0.025525678079601696
104,-20.0,-20.2,0.5937455908197752,878,0.023793482258556577
105,-20.0,-20.2,0.5907768628656763,919,0.02474817270822205
106,-21.0,-20.2,0.5878229785513479,783,0.025002769635635514
107,-21.0,-20.4,0.5848838636585911,825,0.0242676132047817
108,-21.0,-20.6,0.5819594443402982,942,0.022328642484438586
